,id,original_title,original_language,release_date,popularity,vote_average,vote_count,media_type,adult
1323,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1324,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1325,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1326,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1327,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1328,95558,,English,,64.625,8.0,8,tv,False
1329,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1330,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1331,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1332,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1333,158876,,Chinese,,58.304,8.4,9,tv,False
1334,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1335,117465,,Japanese,,62.392,10.0,4,tv,False
1336,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1337,208891,,Japanese,,59.825,8.667,3,tv,False
1338,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1339,82856,,English,,1108.646,8.488,8697,tv,False
1340,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1341,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1342,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1343,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1344,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1345,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1346,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1347,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1348,95558,,English,,64.625,8.0,8,tv,False
1349,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1350,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1351,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1352,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1353,158876,,Chinese,,58.304,8.4,9,tv,False
1354,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1355,117465,,Japanese,,62.392,10.0,4,tv,False
1356,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1357,208891,,Japanese,,59.825,8.667,3,tv,False
1358,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1359,82856,,English,,1108.646,8.488,8697,tv,False
1360,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1361,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1362,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1363,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1364,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1365,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1366,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1367,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1368,95558,,English,,64.625,8.0,8,tv,False
1369,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1370,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1371,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1372,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1373,158876,,Chinese,,58.304,8.4,9,tv,False
1374,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1375,117465,,Japanese,,62.392,10.0,4,tv,False
1376,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1377,208891,,Japanese,,59.825,8.667,3,tv,False
1378,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1379,82856,,English,,1108.646,8.488,8697,tv,False
1380,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1381,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1382,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1383,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1384,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1385,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1386,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1387,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1388,95558,,English,,64.625,8.0,8,tv,False
1389,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1390,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1391,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1392,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1393,158876,,Chinese,,58.304,8.4,9,tv,False
1394,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1395,117465,,Japanese,,62.392,10.0,4,tv,False
1396,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1397,208891,,Japanese,,59.825,8.667,3,tv,False
1398,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1399,82856,,English,,1108.646,8.488,8697,tv,False
1400,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1401,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1402,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1403,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1404,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1405,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1406,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1407,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1408,95558,,English,,64.625,8.0,8,tv,False
1409,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1410,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1411,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1412,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1413,158876,,Chinese,,58.304,8.4,9,tv,False
1414,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1415,117465,,Japanese,,62.392,10.0,4,tv,False
1416,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1417,208891,,Japanese,,59.825,8.667,3,tv,False
1418,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1419,82856,,English,,1108.646,8.488,8697,tv,False
1420,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1421,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1422,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1423,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1424,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1425,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1426,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1427,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1428,95558,,English,,64.625,8.0,8,tv,False
1429,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1430,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1431,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1432,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1433,158876,,Chinese,,58.304,8.4,9,tv,False
1434,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1435,117465,,Japanese,,62.392,10.0,4,tv,False
1436,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1437,208891,,Japanese,,59.825,8.667,3,tv,False
1438,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1439,82856,,English,,1108.646,8.488,8697,tv,False
1440,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1441,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1442,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1443,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1444,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1445,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1446,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1447,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1448,95558,,English,,64.625,8.0,8,tv,False
1449,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1450,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1451,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1452,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1453,158876,,Chinese,,58.304,8.4,9,tv,False
1454,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1455,117465,,Japanese,,62.392,10.0,4,tv,False
1456,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1457,208891,,Japanese,,59.825,8.667,3,tv,False
1458,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1459,82856,,English,,1108.646,8.488,8697,tv,False
1460,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1461,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1462,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1463,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1464,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1465,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1466,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1467,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1468,95558,,English,,64.625,8.0,8,tv,False
1469,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1470,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1471,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1472,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1473,158876,,Chinese,,58.304,8.4,9,tv,False
1474,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1475,117465,,Japanese,,62.392,10.0,4,tv,False
1476,933419,Champions,English,2023-03-09,104.315,6.512,43,movie,False
1477,208891,,Japanese,,59.825,8.667,3,tv,False
1478,878375,On a Wing and a Prayer,English,2023-04-06,53.714,8.0,4,movie,False
1479,82856,,English,,1108.646,8.488,8697,tv,False
1480,638974,Murder Mystery 2,English,2023-03-26,235.901,6.8,187,movie,False
1481,677179,Creed III,English,2023-03-01,1537.879,7.2,561,movie,False
1482,726759,Tetris,English,2023-03-15,66.661,7.7,100,movie,False
1483,76600,Avatar: The Way of Water,English,2022-12-14,10224.28,7.742,6335,movie,False
1484,849869,길복순,Korean,2023-02-17,33.985,6.9,39,movie,False
1485,603692,John Wick: Chapter 4,English,2023-03-22,2569.508,8.161,635,movie,False
1486,493529,Dungeons & Dragons: Honor Among Thieves,English,2023-03-23,702.523,7.598,128,movie,False
1487,932430,Prom Pact,English,2023-03-30,85.403,8.0,10,movie,False
1488,95558,,English,,64.625,8.0,8,tv,False
1489,816904,Momias,Spain,2023-01-05,1224.45,7.008,64,movie,False
1490,514999,Murder Mystery,English,2019-05-25,197.421,6.252,3642,movie,False
1491,1049638,Rye Lane,English,2023-03-17,30.374,7.778,18,movie,False
1492,739405,Operation Fortune: Ruse de Guerre,English,2023-01-04,184.229,6.721,297,movie,False
1493,158876,,Chinese,,58.304,8.4,9,tv,False
1494,921355,Assassin,English,2023-03-31,80.805,4.8,11,movie,False
1495,117465,,Japanese,,62.392,10.0,4,tv,False
